Region;Brott;År;Period;Antal;/100 000 inv
Boxholm kommun;Narkotikabrott;2015;Maj;0;0
Boxholm kommun;Narkotikabrott;2015;Jun;0;0
Boxholm kommun;Narkotikabrott;2015;Jul;2;38
Boxholm kommun;Narkotikabrott;2015;Aug;0;0
Boxholm kommun;Narkotikabrott;2015;Sep;0;0
Boxholm kommun;Narkotikabrott;2015;Okt;15;282
Boxholm kommun;Narkotikabrott;2015;Nov;0;0
Boxholm kommun;Narkotikabrott;2015;Dec;0;0
Bromölla kommun;Narkotikabrott;2015;Jan;3;24
Bromölla kommun;Narkotikabrott;2015;Feb;1;8
Bromölla kommun;Narkotikabrott;2015;Mar;3;24
Bromölla kommun;Narkotikabrott;2015;Apr;4;32
Bromölla kommun;Narkotikabrott;2015;Maj;9;72
Bromölla kommun;Narkotikabrott;2015;Jun;0;0
Bromölla kommun;Narkotikabrott;2015;Jul;1;8
Bromölla kommun;Narkotikabrott;2015;Aug;0;0
Bromölla kommun;Narkotikabrott;2015;Sep;5;40
Bromölla kommun;Narkotikabrott;2015;Okt;4;32
Bromölla kommun;Narkotikabrott;2015;Nov;4;32
Bromölla kommun;Narkotikabrott;2015;Dec;1;8
Bräcke kommun;Narkotikabrott;2015;Jan;2;31
Bräcke kommun;Narkotikabrott;2015;Feb;0;0
Bräcke kommun;Narkotikabrott;2015;Mar;1;15
Bräcke kommun;Narkotikabrott;2015;Apr;5;77
Bräcke kommun;Narkotikabrott;2015;Maj;0;0
Bräcke kommun;Narkotikabrott;2015;Jun;1;15
Bräcke kommun;Narkotikabrott;2015;Jul;0;0
Bräcke kommun;Narkotikabrott;2015;Aug;2;31
Bräcke kommun;Narkotikabrott;2015;Sep;1;15
Bräcke kommun;Narkotikabrott;2015;Okt;2;31
Bräcke kommun;Narkotikabrott;2015;Nov;1;15
Bräcke kommun;Narkotikabrott;2015;Dec;4;62
Burlöv kommun;Narkotikabrott;2015;Jan;7;40
Burlöv kommun;Narkotikabrott;2015;Feb;6;35
Burlöv kommun;Narkotikabrott;2015;Mar;14;81
Burlöv kommun;Narkotikabrott;2015;Apr;16;92
Burlöv kommun;Narkotikabrott;2015;Maj;7;40
Burlöv kommun;Narkotikabrott;2015;Jun;20;115
