Region;Brott;År;Period;Antal;/100 000 inv
Essunga kommun;Våldsbrott ;2015;Sep;0;0
Essunga kommun;Våldsbrott ;2015;Okt;0;0
Essunga kommun;Våldsbrott ;2015;Nov;4;72
Essunga kommun;Våldsbrott ;2015;Dec;5;90
Fagersta kommun;Våldsbrott ;2015;Jan;9;68
Fagersta kommun;Våldsbrott ;2015;Feb;10;76
Fagersta kommun;Våldsbrott ;2015;Mar;17;129
Fagersta kommun;Våldsbrott ;2015;Apr;12;91
Fagersta kommun;Våldsbrott ;2015;Maj;10;76
Fagersta kommun;Våldsbrott ;2015;Jun;7;53
Fagersta kommun;Våldsbrott ;2015;Jul;14;106
Fagersta kommun;Våldsbrott ;2015;Aug;20;151
Fagersta kommun;Våldsbrott ;2015;Sep;23;174
Fagersta kommun;Våldsbrott ;2015;Okt;22;167
Fagersta kommun;Våldsbrott ;2015;Nov;21;159
Fagersta kommun;Våldsbrott ;2015;Dec;16;121
Falkenberg kommun;Våldsbrott ;2015;Jan;22;52
Falkenberg kommun;Våldsbrott ;2015;Feb;27;63
Falkenberg kommun;Våldsbrott ;2015;Mar;32;75
Falkenberg kommun;Våldsbrott ;2015;Apr;31;73
Falkenberg kommun;Våldsbrott ;2015;Maj;41;96
Falkenberg kommun;Våldsbrott ;2015;Jun;14;33
Falkenberg kommun;Våldsbrott ;2015;Jul;28;66
Falkenberg kommun;Våldsbrott ;2015;Aug;33;77
Falkenberg kommun;Våldsbrott ;2015;Sep;38;89
Falkenberg kommun;Våldsbrott ;2015;Okt;115;269
Falkenberg kommun;Våldsbrott ;2015;Nov;24;56
Falkenberg kommun;Våldsbrott ;2015;Dec;40;94
Falköping kommun;Våldsbrott ;2015;Jan;31;96
