Region;Brott;År;Period;Antal;/100 000 inv
Eda kommun;Totalt antal brott;2015;Sep;107;1262
Eda kommun;Totalt antal brott;2015;Okt;118;1392
Eda kommun;Totalt antal brott;2015;Nov;91;1073
Eda kommun;Totalt antal brott;2015;Dec;95;1120
Ekerö kommun;Totalt antal brott;2015;Jan;113;421
Ekerö kommun;Totalt antal brott;2015;Feb;122;455
Ekerö kommun;Totalt antal brott;2015;Mar;144;536
Ekerö kommun;Totalt antal brott;2015;Apr;162;604
Ekerö kommun;Totalt antal brott;2015;Maj;200;745
Ekerö kommun;Totalt antal brott;2015;Jun;182;678
Ekerö kommun;Totalt antal brott;2015;Jul;159;592
Ekerö kommun;Totalt antal brott;2015;Aug;226;842
Ekerö kommun;Totalt antal brott;2015;Sep;153;570
Ekerö kommun;Totalt antal brott;2015;Okt;133;496
Ekerö kommun;Totalt antal brott;2015;Nov;128;477
Ekerö kommun;Totalt antal brott;2015;Dec;139;518
Eksjö kommun;Totalt antal brott;2015;Jan;167;1000
Eksjö kommun;Totalt antal brott;2015;Feb;136;815
Eksjö kommun;Totalt antal brott;2015;Mar;148;887
Eksjö kommun;Totalt antal brott;2015;Apr;155;928
Eksjö kommun;Totalt antal brott;2015;Maj;155;928
Eksjö kommun;Totalt antal brott;2015;Jun;171;1024
Eksjö kommun;Totalt antal brott;2015;Jul;143;857
Eksjö kommun;Totalt antal brott;2015;Aug;176;1054
Eksjö kommun;Totalt antal brott;2015;Sep;150;899
Eksjö kommun;Totalt antal brott;2015;Okt;176;1054
Eksjö kommun;Totalt antal brott;2015;Nov;167;1000
Eksjö kommun;Totalt antal brott;2015;Dec;161;964
Emmaboda kommun;Totalt antal brott;2015;Jan;77;851
Emmaboda kommun;Totalt antal brott;2015;Feb;81;895
Emmaboda kommun;Totalt antal brott;2015;Mar;89;983
Emmaboda kommun;Totalt antal brott;2015;Apr;86;950
Emmaboda kommun;Totalt antal brott;2015;Maj;180;1989
Emmaboda kommun;Totalt antal brott;2015;Jun;129;1425
Emmaboda kommun;Totalt antal brott;2015;Jul;290;3205
Emmaboda kommun;Totalt antal brott;2015;Aug;94;1039
Emmaboda kommun;Totalt antal brott;2015;Sep;92;1017
Emmaboda kommun;Totalt antal brott;2015;Okt;118;1304
Emmaboda kommun;Totalt antal brott;2015;Nov;89;983
Emmaboda kommun;Totalt antal brott;2015;Dec;78;862
Enköping kommun;Totalt antal brott;2015;Jan;426;1026
Enköping kommun;Totalt antal brott;2015;Feb;405;975
Enköping kommun;Totalt antal brott;2015;Mar;471;1134
Enköping kommun;Totalt antal brott;2015;Apr;445;1072
Enköping kommun;Totalt antal brott;2015;Maj;495;1192
Enköping kommun;Totalt antal brott;2015;Jun;529;1274
Enköping kommun;Totalt antal brott;2015;Jul;635;1529
Enköping kommun;Totalt antal brott;2015;Aug;418;1007
Enköping kommun;Totalt antal brott;2015;Sep;482;1161
Enköping kommun;Totalt antal brott;2015;Okt;471;1134
Enköping kommun;Totalt antal brott;2015;Nov;414;997
Enköping kommun;Totalt antal brott;2015;Dec;337;812
Eskilstuna kommun;Totalt antal brott;2015;Jan;1105;1089
Eskilstuna kommun;Totalt antal brott;2015;Feb;992;977
Eskilstuna kommun;Totalt antal brott;2015;Mar;1282;1263
Eskilstuna kommun;Totalt antal brott;2015;Apr;1388;1368
Eskilstuna kommun;Totalt antal brott;2015;Maj;1711;1686
Eskilstuna kommun;Totalt antal brott;2015;Jun;1466;1444
Eskilstuna kommun;Totalt antal brott;2015;Jul;1380;1360
Eskilstuna kommun;Totalt antal brott;2015;Aug;1571;1548
Eskilstuna kommun;Totalt antal brott;2015;Sep;1452;1431
Eskilstuna kommun;Totalt antal brott;2015;Okt;1444;1423
Eskilstuna kommun;Totalt antal brott;2015;Nov;1212;1194
Eskilstuna kommun;Totalt antal brott;2015;Dec;1317;1298
Eslöv kommun;Totalt antal brott;2015;Jan;330;1021
Eslöv kommun;Totalt antal brott;2015;Feb;293;907
Eslöv kommun;Totalt antal brott;2015;Mar;301;932
Eslöv kommun;Totalt antal brott;2015;Apr;311;963
Eslöv kommun;Totalt antal brott;2015;Maj;371;1148
Eslöv kommun;Totalt antal brott;2015;Jun;294;910
Eslöv kommun;Totalt antal brott;2015;Jul;298;922
Eslöv kommun;Totalt antal brott;2015;Aug;415;1284
Eslöv kommun;Totalt antal brott;2015;Sep;348;1077
Eslöv kommun;Totalt antal brott;2015;Okt;445;1377
Eslöv kommun;Totalt antal brott;2015;Nov;399;1235
Eslöv kommun;Totalt antal brott;2015;Dec;286;885
Essunga kommun;Totalt antal brott;2015;Jan;59;1060
Essunga kommun;Totalt antal brott;2015;Feb;45;809
Essunga kommun;Totalt antal brott;2015;Mar;49;881
Essunga kommun;Totalt antal brott;2015;Apr;27;485
Essunga kommun;Totalt antal brott;2015;Maj;46;827
